Description,Vendor's Item #,PO #,PO Date,Invoice #,Invoice Date,PO Vendor,Ship To,Item Style,Item Attribute,PO Line Unit,ORDER_QTY,ORDER_QTY,Outstanding QTY,Item #
TOP LONY #1B,,100018,,734390,3/21/16,BOYANG,BSW7,TOP LONY,#1B,18.95,2,2,0,885160036256
TOP LONY #2,,100018,,734390,3/21/16,BOYANG,BSW7,TOP LONY,#2,18.95,1,1,0,885160036263
TOP LONY #4,,100018,,734390,3/21/16,BOYANG,BSW7,TOP LONY,#4,18.95,1,1,0,885160036270
TOP MILA #SP1B/33,,100018,,734390,3/21/16,BOYANG,BSW7,TOP MILA,#SP1B/33,17.95,1,1,0,885160027902
TOP OZEY #1,,100018,,734390,3/21/16,BOYANG,BSW7,TOP OZEY,#1,19.95,1,1,0,885160035013
TOP RUBY #1,,100018,,734390,3/21/16,BOYANG,BSW7,TOP RUBY,#1,17.95,2,2,0,885160004668
TOPS BAMBAS #1B,,100018,,734390,3/21/16,BOYANG,BSW7,TOPS BAMBAS,#1B,22.5,1,1,0,885160074326
TOPS ELEGANTE #1B,,100018,,734390,3/21/16,BOYANG,BSW7,TOPS ELEGANTE,#1B,19.95,1,1,0,885160085186
TOPS ELEGANTE #2,,100018,,734390,3/21/16,BOYANG,BSW7,TOPS ELEGANTE,#2,19.95,1,1,0,885160085193
TOPS GALVON #2,,100018,,734390,3/21/16,BOYANG,BSW7,TOPS GALVON,#2,19.75,2,2,0,885160057602
TOP SIDE ALTAS #1,,100018,,734390,3/21/16,BOYANG,BSW7,TOP SIDE ALTAS,#1,18.75,1,1,0,885160086022
TOP SIDE ALTAS #1B,,100018,,734390,3/21/16,BOYANG,BSW7,TOP SIDE ALTAS,#1B,18.75,1,1,0,885160086039
TOP SIDE ALTAS #2,,100018,,734390,3/21/16,BOYANG,BSW7,TOP SIDE ALTAS,#2,18.75,1,1,0,885160086046
TOP SIDE ISA #1,,100018,,734390,3/21/16,BOYANG,BSW7,TOP SIDE ISA,#1,20.95,1,1,0,885160078980
TOP SIDE OBI #SP1B/30,,100018,,734390,3/21/16,BOYANG,BSW7,TOP SIDE OBI,#SP1B/30,17.95,1,1,0,885160082154
TOP SOBY #1,,100018,,734390,3/21/16,BOYANG,BSW7,TOP SOBY,#1,17.95,2,2,0,885160029661
TOP SOBY #2,,100018,,734390,3/21/16,BOYANG,BSW7,TOP SOBY,#2,17.95,2,2,0,885160029685
TOPS YOLAN #2,,100018,,734390,3/21/16,BOYANG,BSW7,TOPS YOLAN,#2,19.95,2,2,0,885160053956
TOP TORAS #1,,100018,,734390,3/21/16,BOYANG,BSW7,TOP TORAS,#1,20.95,1,1,0,885160030698
TOP TORAS #1B,,100018,,734390,3/21/16,BOYANG,BSW7,TOP TORAS,#1B,20.95,1,1,0,885160030704
TOP UMANA #4,,100018,,734390,3/21/16,BOYANG,BSW7,TOP UMANA,#4,19.95,1,1,0,885160030834
TOP UMANA #F2058,,100018,,734390,3/21/16,BOYANG,BSW7,TOP UMANA,#F2058,19.95,1,1,0,885160030841
TOP WONY #1,,100018,,734390,3/21/16,BOYANG,BSW7,TOP WONY,#1,19.95,1,1,0,885160026165
TOP YOLA #1,,100018,,734390,3/21/16,BOYANG,BSW7,TOP YOLA,#1,17.95,1,1,0,885160006792
TOP YOLA #SP1B/33,,100018,,734390,3/21/16,BOYANG,BSW7,TOP YOLA,#SP1B/33,17.95,1,1,0,885160006860
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
